 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.04615057E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    2.49750051E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.66623557E-01
 C20                                             :    1.35263724E-04
 C22                                             :    4.06168465E-05
 ekf (Equivalent Fluid Love Number)              :    5.45571086E-01
 H(n)                                            :    6.18228434E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    5.37210372E-04
 b-R [km]                                        :   -1.53710119E-04
 c-R [km]                                        :   -3.83270726E-04
 
 f1=(a-c)/a                                      :    9.19986845E-04
 f2=(b-c)/b                                      :    2.29595892E-04
 f3=(a-b)/a                                      :    6.90390953E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.11672468E-03
 f_MacLaurin                                     :    3.71377114E-04
 f_Roche                                         :    1.48810180E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
 132    6.60000000E-02    9.34000000E+11    2.53699933E+07    7.31363650E+04    3.78506385E-01    7.95064607E-02
 133    6.65000000E-02    9.33500000E+11    2.57435252E+07    7.53461641E+04    3.78556435E-01    7.88880380E-02
 134    6.70000000E-02    9.33000000E+11    2.61195736E+07    7.76050262E+04    3.78606514E-01    7.82787016E-02
 135    6.75000000E-02    9.32500000E+11    2.64981337E+07    7.99136482E+04    3.78656621E-01    7.76782526E-02
 136    6.80000000E-02    9.32000000E+11    2.68792008E+07    8.22727308E+04    3.78706757E-01    7.70864979E-02
 137    6.85000000E-02    9.31500000E+11    2.72627701E+07    8.46829791E+04    3.78756921E-01    7.65032499E-02
 138    6.90000000E-02    9.31000000E+11    2.76488370E+07    8.71451023E+04    3.78807113E-01    7.59283265E-02
 139    6.95000000E-02    9.30500000E+11    2.80373968E+07    8.96598139E+04    3.78857334E-01    7.53615505E-02
 140    7.00000000E-02    9.30000000E+11    2.84284447E+07    9.22278311E+04    3.78907584E-01    7.48027500E-02
 141    7.05000000E-02    9.29500000E+11    2.88219761E+07    9.48498756E+04    3.78957862E-01    7.42517577E-02
 142    7.10000000E-02    9.29000000E+11    2.92179861E+07    9.75266732E+04    3.79008168E-01    7.37084109E-02
 143    7.15000000E-02    9.28500000E+11    2.96164702E+07    1.00258953E+05    3.79058503E-01    7.31725515E-02
 144    7.20000000E-02    9.28000000E+11    3.00174235E+07    1.03047450E+05    3.79108867E-01    7.26440258E-02
 145    7.25000000E-02    9.27500000E+11    3.04208415E+07    1.05892901E+05    3.79159260E-01    7.21226840E-02
 146    7.30000000E-02    9.27000000E+11    3.08267193E+07    1.08796048E+05    3.79209681E-01    7.16083808E-02
 147    7.35000000E-02    9.26500000E+11    3.12350522E+07    1.11757638E+05    3.79260131E-01    7.11009743E-02
 148    7.40000000E-02    9.26000000E+11    3.16458356E+07    1.14778419E+05    3.79310609E-01    7.06003268E-02
 149    7.45000000E-02    9.25500000E+11    3.20590647E+07    1.17859146E+05    3.79361116E-01    7.01063039E-02
